Season,Name,Age,G,%G,PA,PA/G,R,R/G,2B,2B/G,3B,3B/G,HR,HR/G,RBI,RBI/G,SB,SB/G,BB,BB/G,SO,SO/G,AVG,OBP,SLG,OPS
2011,Eric Hosmer,21,128,0.790123457,563,4.3984375,66,0.515625,27,0.2109375,3,0.0234375,19,0.1484375,78,0.609375,11,0.0859375,34,0.265625,82,0.640625,0.293,0.334,0.465,0.799
2012,Eric Hosmer,22,152,0.938271605,598,3.934210526,65,0.427631579,22,0.144736842,2,0.013157895,14,0.092105263,60,0.394736842,16,0.105263158,56,0.368421053,95,0.625,0.232,0.304,0.359,0.663
2013,Eric Hosmer,23,159,0.981481481,680,4.27672956,86,0.540880503,34,0.213836478,3,0.018867925,17,0.106918239,79,0.496855346,11,0.06918239,51,0.320754717,100,0.628930818,0.302,0.353,0.448,0.801
2014,Eric Hosmer,24,131,0.808641975,547,4.175572519,54,0.41221374,35,0.267175573,1,0.007633588,9,0.06870229,58,0.442748092,4,0.030534351,35,0.267175573,93,0.709923664,0.27,0.318,0.398,0.716
2015,Eric Hosmer,25,158,0.975308642,667,4.221518987,98,0.620253165,33,0.208860759,5,0.03164557,18,0.113924051,93,0.588607595,7,0.044303797,61,0.386075949,108,0.683544304,0.297,0.363,0.459,0.822
2016,Eric Hosmer,26,158,0.975308642,667,4.221518987,80,0.506329114,24,0.151898734,1,0.006329114,25,0.158227848,104,0.658227848,5,0.03164557,57,0.360759494,132,0.835443038,0.266,0.328,0.433,0.761
2017,Eric Hosmer,27,162,1,671,4.141975309,98,0.604938272,31,0.191358025,1,0.00617284,25,0.154320988,94,0.580246914,6,0.037037037,66,0.407407407,104,0.641975309,0.318,0.385,0.498,0.882
2018,Eric Hosmer,28,157,0.969135802,677,4.312101911,72,0.458598726,31,0.197452229,2,0.012738854,18,0.114649682,69,0.439490446,7,0.044585987,62,0.394904459,142,0.904458599,0.253,0.322,0.398,0.72
2019,Eric Hosmer,29,160,0.987654321,667,4.16875,72,0.45,29,0.18125,2,0.0125,22,0.1375,99,0.61875,0,0,40,0.25,163,1.01875,0.265,0.31,0.425,0.735
2020,Eric Hosmer,30,38,0.633333333,156,4.105263158,23,0.605263158,6,0.157894737,0,0,9,0.236842105,36,0.947368421,4,0.105263158,9,0.236842105,28,0.736842105,0.287,0.333,0.517,0.851
2019,Fernando Tatis Jr.,20,84,0.518518519,372,4.428571429,61,0.726190476,13,0.154761905,6,0.071428571,22,0.261904762,53,0.630952381,16,0.19047619,30,0.357142857,110,1.30952381,0.317,0.379,0.59,0.969
2020,Fernando Tatis Jr.,21,59,0.983333333,257,4.355932203,50,0.847457627,11,0.186440678,2,0.033898305,17,0.288135593,45,0.762711864,11,0.186440678,27,0.457627119,61,1.033898305,0.277,0.366,0.571,0.937
2020,Jake Cronenworth,26,54,0.9,192,3.555555556,26,0.481481481,15,0.277777778,3,0.055555556,4,0.074074074,20,0.37037037,3,0.055555556,18,0.333333333,30,0.555555556,0.285,0.354,0.477,0.831
2020,Jorge Mateo,25,22,0.366666667,28,1.272727273,4,0.181818182,3,0.136363636,0,0,0,0,2,0.090909091,1,0.045454545,1,0.045454545,11,0.5,0.154,0.185,0.269,0.454
2012,Jurickson Profar,19,9,0.055555556,17,1.888888889,2,0.222222222,2,0.222222222,0,0,1,0.111111111,2,0.222222222,0,0,0,0,4,0.444444444,0.176,0.176,0.471,0.647
2013,Jurickson Profar,20,85,0.524691358,324,3.811764706,30,0.352941176,11,0.129411765,0,0,6,0.070588235,26,0.305882353,2,0.023529412,26,0.305882353,63,0.741176471,0.234,0.308,0.336,0.644
2016,Jurickson Profar,23,90,0.555555556,307,3.411111111,35,0.388888889,6,0.066666667,3,0.033333333,5,0.055555556,20,0.222222222,2,0.022222222,30,0.333333333,61,0.677777778,0.239,0.321,0.338,0.66
2017,Jurickson Profar,24,22,0.135802469,70,3.181818182,8,0.363636364,2,0.090909091,0,0,0,0,5,0.227272727,1,0.045454545,9,0.409090909,14,0.636363636,0.172,0.294,0.207,0.501
2018,Jurickson Profar,25,146,0.901234568,594,4.068493151,82,0.561643836,35,0.239726027,6,0.04109589,20,0.136986301,77,0.52739726,10,0.068493151,54,0.369863014,88,0.602739726,0.254,0.335,0.458,0.793
2019,Jurickson Profar,26,139,0.858024691,518,3.726618705,65,0.467625899,24,0.172661871,2,0.014388489,20,0.143884892,67,0.482014388,9,0.064748201,48,0.345323741,75,0.539568345,0.218,0.301,0.41,0.711
2020,Jurickson Profar,27,56,0.933333333,202,3.607142857,28,0.5,6,0.107142857,0,0,7,0.125,25,0.446428571,7,0.125,15,0.267857143,28,0.5,0.278,0.343,0.428,0.771
2012,Manny Machado,19,51,1,202,3.960784314,24,0.470588235,8,0.156862745,3,0.058823529,7,0.137254902,26,0.509803922,2,0.039215686,9,0.176470588,38,0.745098039,0.262,0.294,0.445,0.739
2013,Manny Machado,20,156,0.962962963,710,4.551282051,88,0.564102564,51,0.326923077,3,0.019230769,14,0.08974359,71,0.455128205,6,0.038461538,29,0.185897436,113,0.724358974,0.283,0.314,0.432,0.746
2014,Manny Machado,21,82,0.50617284,354,4.317073171,38,0.463414634,14,0.170731707,0,0,12,0.146341463,32,0.390243902,2,0.024390244,20,0.243902439,68,0.829268293,0.278,0.324,0.431,0.755
2015,Manny Machado,22,162,1,713,4.401234568,102,0.62962963,30,0.185185185,1,0.00617284,35,0.216049383,86,0.530864198,20,0.12345679,70,0.432098765,111,0.685185185,0.286,0.359,0.502,0.861
2016,Manny Machado,23,157,0.969135802,696,4.433121019,105,0.668789809,40,0.25477707,1,0.006369427,37,0.23566879,96,0.611464968,0,0,48,0.305732484,120,0.76433121,0.294,0.343,0.533,0.876
2017,Manny Machado,24,156,0.962962963,690,4.423076923,81,0.519230769,33,0.211538462,1,0.006410256,33,0.211538462,95,0.608974359,9,0.057692308,50,0.320512821,115,0.737179487,0.259,0.31,0.471,0.782
2018,Manny Machado,25,162,1,709,4.37654321,84,0.518518519,35,0.216049383,3,0.018518519,37,0.228395062,107,0.660493827,14,0.086419753,70,0.432098765,104,0.641975309,0.297,0.367,0.538,0.905
2019,Manny Machado,26,156,0.962962963,661,4.237179487,81,0.519230769,21,0.134615385,2,0.012820513,32,0.205128205,85,0.544871795,5,0.032051282,65,0.416666667,128,0.820512821,0.256,0.334,0.462,0.796
2020,Manny Machado,27,60,1,254,4.233333333,44,0.733333333,12,0.2,1,0.016666667,16,0.266666667,47,0.783333333,6,0.1,26,0.433333333,37,0.616666667,0.304,0.37,0.58,0.95
2014,Tommy Pham,26,6,0.037037037,2,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.333333333,0,0,0,0
2015,Tommy Pham,27,52,0.320987654,173,3.326923077,28,0.538461538,7,0.134615385,5,0.096153846,5,0.096153846,18,0.346153846,2,0.038461538,19,0.365384615,41,0.788461538,0.268,0.347,0.477,0.824
2016,Tommy Pham,28,78,0.481481481,183,2.346153846,26,0.333333333,7,0.08974359,0,0,9,0.115384615,17,0.217948718,2,0.025641026,20,0.256410256,71,0.91025641,0.226,0.324,0.44,0.764
2017,Tommy Pham,29,128,0.790123457,530,4.140625,95,0.7421875,22,0.171875,2,0.015625,23,0.1796875,73,0.5703125,25,0.1953125,71,0.5546875,117,0.9140625,0.306,0.411,0.52,0.931
2018,Tommy Pham,30,137,0.845679012,570,4.160583942,102,0.744525547,18,0.131386861,6,0.04379562,21,0.153284672,63,0.459854015,15,0.109489051,67,0.489051095,140,1.02189781,0.275,0.367,0.464,0.83
2019,Tommy Pham,31,145,0.895061728,654,4.510344828,77,0.531034483,33,0.227586207,2,0.013793103,21,0.144827586,68,0.468965517,25,0.172413793,81,0.55862069,123,0.848275862,0.273,0.369,0.45,0.818
2020,Tommy Pham,32,31,0.516666667,125,4.032258065,13,0.419354839,2,0.064516129,0,0,3,0.096774194,12,0.387096774,6,0.193548387,15,0.483870968,27,0.870967742,0.211,0.312,0.312,0.624
2019,Trent Grisham,22,51,0.962264151,183,3.588235294,24,0.470588235,6,0.117647059,2,0.039215686,6,0.117647059,24,0.470588235,1,0.019607843,20,0.392156863,48,0.941176471,0.231,0.328,0.41,0.738
2020,Trent Grisham,23,59,0.983333333,252,4.271186441,42,0.711864407,8,0.13559322,3,0.050847458,10,0.169491525,26,0.440677966,10,0.169491525,31,0.525423729,64,1.084745763,0.251,0.352,0.456,0.808
2017,Victor Caratini,23,31,0.191358025,66,2.129032258,6,0.193548387,3,0.096774194,0,0,1,0.032258065,2,0.064516129,0,0,4,0.129032258,13,0.419354839,0.254,0.333,0.356,0.689
2018,Victor Caratini,24,76,0.469135802,200,2.631578947,21,0.276315789,7,0.092105263,0,0,2,0.026315789,21,0.276315789,0,0,12,0.157894737,42,0.552631579,0.232,0.293,0.304,0.597
2019,Victor Caratini,25,95,0.586419753,279,2.936842105,31,0.326315789,11,0.115789474,0,0,11,0.115789474,34,0.357894737,1,0.010526316,29,0.305263158,59,0.621052632,0.266,0.348,0.447,0.794
2020,Victor Caratini,26,44,0.733333333,132,3,10,0.227272727,7,0.159090909,0,0,1,0.022727273,16,0.363636364,0,0,12,0.272727273,31,0.704545455,0.241,0.333,0.328,0.661
2013,Wil Myers,22,88,0.543209877,373,4.238636364,50,0.568181818,23,0.261363636,0,0,13,0.147727273,53,0.602272727,5,0.056818182,33,0.375,91,1.034090909,0.293,0.354,0.478,0.831
2014,Wil Myers,23,87,0.537037037,361,4.149425287,37,0.425287356,14,0.16091954,0,0,6,0.068965517,35,0.402298851,6,0.068965517,34,0.390804598,90,1.034482759,0.222,0.294,0.32,0.614
2015,Wil Myers,24,60,0.37037037,253,4.216666667,40,0.666666667,13,0.216666667,1,0.016666667,8,0.133333333,29,0.483333333,5,0.083333333,27,0.45,55,0.916666667,0.253,0.336,0.427,0.763
2016,Wil Myers,25,157,0.969135802,676,4.305732484,99,0.630573248,29,0.184713376,4,0.025477707,28,0.178343949,94,0.598726115,28,0.178343949,68,0.433121019,160,1.01910828,0.259,0.336,0.461,0.797
2017,Wil Myers,26,155,0.956790123,649,4.187096774,80,0.516129032,29,0.187096774,3,0.019354839,30,0.193548387,74,0.477419355,20,0.129032258,70,0.451612903,180,1.161290323,0.243,0.328,0.464,0.792
2018,Wil Myers,27,83,0.512345679,343,4.13253012,39,0.469879518,25,0.301204819,1,0.012048193,11,0.13253012,39,0.469879518,13,0.156626506,30,0.361445783,94,1.13253012,0.253,0.318,0.446,0.763
2019,Wil Myers,28,155,0.956790123,490,3.161290323,58,0.374193548,22,0.141935484,1,0.006451613,18,0.116129032,53,0.341935484,16,0.103225806,51,0.329032258,168,1.083870968,0.239,0.321,0.418,0.739
2020,Wil Myers,29,55,0.916666667,218,3.963636364,34,0.618181818,14,0.254545455,2,0.036363636,15,0.272727273,40,0.727272727,2,0.036363636,18,0.327272727,56,1.018181818,0.288,0.353,0.606,0.959
2019,Austin Nola,29,79,0.487654321,267,3.379746835,37,0.46835443,12,0.151898734,1,0.012658228,10,0.126582278,31,0.392405063,1,0.012658228,23,0.291139241,63,0.797468354,0.269,0.342,0.454,0.796
2020,Austin Nola,30,48,0.8,184,3.833333333,24,0.5,9,0.1875,1,0.020833333,7,0.145833333,28,0.583333333,0,0,18,0.375,34,0.708333333,0.273,0.353,0.472,0.825