Season,Team,G,PA,R,2B,3B,HR,RBI,SB,AVG,OBP,SLG,OPS,BB,SO
2010,SDP,663,343,22,8,0,1,18,0,0.168,0.205,0.205,0.41,13,126
2017,SDP,683,307,13,6,4,3,22,1,0.157,0.181,0.243,0.424,6,112
2013,SDP,661,336,14,6,0,3,16,2,0.154,0.176,0.204,0.38,7,126
2014,SDP,649,314,14,5,1,1,13,0,0.12,0.159,0.156,0.314,12,114
2011,SDP,656,324,14,3,0,1,11,0,0.138,0.161,0.159,0.32,7,116
2015,SDP,689,317,20,8,1,1,9,0,0.128,0.151,0.174,0.325,7,119
2012,SDP,702,355,19,9,1,1,20,1,0.124,0.14,0.169,0.309,4,144
2016,SDP,674,310,15,2,0,1,12,1,0.107,0.151,0.125,0.276,13,140
2019,SDP,703,283,10,4,0,0,8,0,0.118,0.139,0.134,0.273,5,128
2018,SDP,702,293,10,2,0,1,11,1,0.09,0.132,0.11,0.242,12,136