,G,PA,R,2B,3B,HR,RBI,SB,BB,SO ,AVG,OBP,SLG,OPS,2021 Salary
Fernando Tatis Jr.,154,676,121,26,8,42,107,29,63,180,0.297,0.372,0.580,0.953,1714285
Manny Machado,154,655,92,26,3,35,100,9,63,112,0.276,0.346,0.510,0.856,32000000
Trent Grisham,154,606,91,20,7,22,70,15,71,156,0.241,0.340,0.433,0.774,589200
Eric Hosmer,120,494,67,19,0,25,102,8,29,98,0.280,0.326,0.489,0.816,21000000
Jake Cronenworth,146,519,70,41,8,11,54,8,49,81,0.285,0.354,0.477,0.831,584900
Victor Caratini,98,274,22,15,0,3,30,0,22,62,0.243,0.330,0.337,0.668,1300000
Austin Nola,105,379,51,18,2,14,51,1,35,79,0.271,0.348,0.463,0.811,571500
Wil Myers,138,519,72,32,3,28,77,11,46,146,0.266,0.336,0.518,0.854,22500000
Tommy Pham,112,469,55,13,1,13,47,20,57,99,0.236,0.335,0.369,0.703,8900000
Jurickson Profar,122,450,61,17,1,16,57,12,37,63,0.258,0.330,0.426,0.755,4333333
Combined Pitchers,155,288,10,3,0,1,10,1,9,132,0.104,0.136,0.122,0.258,0
Team Total,1458,5329,712,230,33,210,705,114,481,1208,0.258569,0.332,0.453,0.785,93493218