,GS,IP,ERA,WHIP,AVG,K/9,BB/9
Blake Snell,29,160,3.32,1.19,0.224,11.51,3.26
Yu Darvish,29,200,3.19,1.1,0.215,11.17,2.62
Joe Musgrove,29,200,4,1.23,0.231,11.18,3.13
Chris Paddack,32,180,4.04,1.1,0.231,9.31,1.9
Dinelson Lamet,30,172,2.88,1.02,0.185,11.85,3.38
Adrian Morejon,6,30,7.35,1.74,0.325,10.9,2.61
Drew Pomeranz,6,66,2.47,1.14,0.178,13.34,4.52
Emilio Pagan,0,58,4.27,1.04,0.191,9.68,3.39
Austin Adams,1,12,3.99,1.51,0.203,14.09,6.75
Pierce Johnson,0,50,3.84,1.27,0.219,10.26,4.24
Miguel Diaz,0,18,6.89,1.59,0.291,7.28,3.98
Mark Melancon,0,59,2.99,1.32,0.263,6.42,2.75
Craig Stammen,0,71,4.64,1.23,0.260,7.91,1.59
Nabil Crismatt,0,66,3.24,0.84,0.200,8.64,1.08
Tim Hill,0,46,4.4,1.27,0.240,9.15,2.93
Nick Ramirez,0,53,5.01,1.26,0.219,8.83,3.66
Keone Kela,0,17,3.66,1.61,0.273,12.25,4.03
Team Total,162,1458,3.73,1.17,0.222,10.44,2.93